year,Annual,DJFM,DJF,MAM,JJA,SON,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1856,0.073,-0.199,-0.034,-0.238,0.496,0.003,-0.317,0.245,-0.695,-0.072,0.055,0.638,1.078,-0.227,0.199,0.006,-0.196,0.163
1857,0.198,0.098,0.083,0.026,0.434,0.128,-0.243,0.328,0.143,0.191,-0.255,0.19,1.188,-0.075,0.255,0.139,-0.009,0.529
1858,0.093,0.072,0.158,0.204,0.162,-0.033,0.226,-0.281,-0.186,0.056,0.741,0.128,0.227,0.13,0.452,0.003,-0.553,0.176
1859,0.002,0.371,0.301,-0.182,-0.086,0.04,0.301,0.427,0.581,0.077,-1.202,-0.351,0.178,-0.085,0.311,-0.228,0.038,-0.021
1860,0.011,0.049,-0.037,0.128,0.317,-0.189,0.042,-0.133,0.306,-0.248,0.325,0.813,-0.311,0.447,-0.382,0.355,-0.539,-0.549
1861,0.031,-0.052,-0.207,-0.11,0.28,0.084,-0.168,0.097,0.414,-0.321,-0.421,-0.422,0.261,1.002,0.293,-0.304,0.262,-0.319
1862,0.071,-0.136,-0.143,0.214,0.325,-0.283,0.037,-0.148,-0.116,0.422,0.336,0.474,0.806,-0.305,-0.547,0.346,-0.647,0.19
1863,0.175,0.195,0.279,-0.064,0.168,0.281,0.379,0.268,-0.057,0.289,-0.425,0.34,-0.149,0.314,0.45,0.161,0.232,0.298
1864,-0.066,-0.003,0.067,-0.163,0.153,-0.117,-0.015,-0.081,-0.213,-0.034,-0.243,0.606,-0.142,-0.004,0.313,-0.656,-0.009,-0.317
1865,-0.034,-0.185,-0.141,-0.029,-0.078,-0.032,-0.1,-0.006,-0.316,-0.116,0.344,-0.34,0.01,0.095,-0.171,0.053,0.022,0.12
1866,0.122,0.193,0.397,-0.257,0.012,0.258,0.534,0.538,-0.421,-0.061,-0.288,0.065,-0.33,0.302,0.713,-0.307,0.367,0.349
1867,0.065,0.003,0.199,0.062,0.093,0.07,-0.204,0.453,-0.585,0.864,-0.091,0.044,0.171,0.063,0.248,0.228,-0.268,-0.146
1868,0.025,0.117,0.083,0.225,-0.202,-0.261,0.01,0.385,0.218,0.451,0.005,0.035,-0.974,0.334,-0.603,0.01,-0.191,0.625
1869,0.066,0.213,0.553,-0.43,0.178,0.219,0.351,0.683,-0.805,-0.06,-0.424,0.006,0.038,0.489,0.535,-0.028,0.149,-0.143
1870,NA,-0.205,-0.112,0.186,-0.405,NA,0.143,-0.337,-0.482,0.324,0.717,-0.045,-0.236,-0.934,NA,NA,0.041,-0.546
1871,-0.069,-0.066,-0.097,0.037,0.021,-0.421,-0.242,0.498,0.024,0.455,-0.368,-0.319,0.389,-0.007,-0.649,-0.017,-0.597,0.01
1872,0.096,0.029,0.138,-0.007,0.041,0.208,0.105,0.299,-0.296,0.055,0.222,0.685,-0.492,-0.071,0.492,0.006,0.126,0.023
1873,0.05,-0.105,-0.025,-0.201,0.402,0.021,0.242,-0.339,-0.347,-0.448,0.191,0.059,0.456,0.69,0.216,0.043,-0.195,0.037
1874,0.039,0.184,0.172,-0.031,-0.012,0.179,0.354,0.124,0.222,0.096,-0.412,-0.489,-0.117,0.569,0.359,0.372,-0.194,-0.421
1875,-0.08,-0.191,-0.128,-0.066,-0.057,-0.16,0.362,-0.326,-0.378,-0.16,0.34,0.529,-0.646,-0.056,-0.083,-0.195,-0.202,-0.144
1876,-0.05,0.056,-0.025,-0.133,-0.032,-0.083,-0.2,0.269,0.296,0.181,-0.877,-0.418,0.409,-0.088,0.215,-0.274,-0.19,0.08
1877,0.043,0.129,0.217,-0.303,0.285,0.026,0.259,0.312,-0.134,-0.517,-0.259,0.042,0.543,0.269,-0.383,0.151,0.31,-0.08
1878,-0.149,-0.017,0.044,-0.03,-0.394,-0.134,-0.011,0.223,-0.2,-0.314,0.424,-0.083,-0.458,-0.642,0.079,0.048,-0.529,-0.319
1879,-0.057,-0.359,-0.403,-0.282,0.573,-0.217,-0.635,-0.255,-0.227,-0.504,-0.114,0.755,0.531,0.435,-0.038,-0.253,-0.359,-0.02
1880,-0.046,0.044,0.119,-0.205,-0.204,0.005,-0.087,0.464,-0.183,0.081,-0.512,0.031,0.516,-1.16,0.18,-0.327,0.161,0.281
1881,0.03,-0.11,-0.158,-0.09,0.389,-0.01,-0.608,-0.146,0.032,-0.576,0.273,0.078,0.544,0.545,-0.251,-0.469,0.69,0.248
1882,0.239,0.345,0.35,0.241,0.574,-0.151,0.348,0.454,0.331,0.28,0.113,0.683,0.444,0.593,-0.457,-0.068,0.07,0.079
1883,0.128,0.045,0.258,-0.325,0.362,0.286,0.075,0.619,-0.593,-0.193,-0.188,-0.138,0.431,0.795,0.19,0.178,0.492,-0.125
1884,0.088,0.17,0.242,-0.096,0.099,0.038,0.571,0.279,-0.043,-0.619,0.374,-0.132,0.455,-0.025,0.126,0.049,-0.061,0.077
1885,-0.024,-0.022,0.134,-0.057,-0.196,0.063,-0.091,0.415,-0.491,-0.367,0.687,-0.359,0.396,-0.626,0.359,0.021,-0.19,-0.044
1886,0.075,-0.08,-0.116,0.165,0.125,0.065,-0.024,-0.281,0.03,-0.041,0.507,-0.33,0.473,0.232,-0.012,0.025,0.181,0.14
1887,-0.027,0.013,0.092,-0.189,0.084,-0.079,0.082,0.055,-0.223,-0.171,-0.173,-0.186,0.389,0.049,0.179,-0.139,-0.277,0.091
1888,0.155,-0.031,-0.099,0.24,0.374,0.091,0.079,-0.466,0.174,0.044,0.502,0.132,0.173,0.817,-0.177,0.061,0.389,0.13
1889,0.085,-0.005,-0.023,0.066,0.14,0.139,-0.122,-0.078,0.049,0.035,0.114,-0.806,0.185,1.04,-0.039,0.222,0.233,0.185
1890,0.168,0.21,0.166,-0.089,0.56,0.286,0.571,-0.257,0.34,-0.235,-0.372,0.991,0.455,0.233,0.574,0.258,0.027,-0.564
1891,0.279,-0.101,-0.157,0.045,0.496,0.355,-0.078,0.171,0.067,-0.125,0.193,-0.218,0.736,0.971,0.736,0.268,0.06,0.567
1892,-0.008,-0.048,0.133,-0.14,0.059,0.145,-0.083,-0.086,-0.591,-0.126,0.295,0.334,-0.488,0.332,0.491,-0.075,0.02,-0.116
1893,0.076,0.077,0.062,-0.049,0.121,-0.001,-0.16,0.462,0.124,-0.359,0.089,-0.185,-0.04,0.588,0.05,0.278,-0.33,0.392
1894,0.134,0.315,0.393,-0.062,0.422,-0.125,0.206,0.581,0.081,-0.034,-0.235,0.362,0.297,0.607,-0.592,-0.049,0.265,0.116
1895,0.057,-0.141,-0.307,0.077,0.468,NA,-0.473,-0.564,0.355,0.13,-0.254,-0.104,0.669,0.84,NA,-0.027,0.174,-0.116
1896,-0.04,0.06,-0.045,0.052,-0.074,-0.072,-0.126,0.106,0.378,0.482,-0.703,-0.019,-0.111,-0.094,0.451,-0.042,-0.625,-0.175
1897,0.064,0.046,-0.145,0.145,0.105,0.002,-0.626,0.368,0.617,0.043,-0.225,0.131,-0.229,0.412,0.135,-0.192,0.062,0.268
1898,0.117,0.036,0.213,-0.057,0.26,-0.055,0.116,0.256,-0.496,0.144,0.182,0.033,0.42,0.327,0.039,-0.04,-0.164,0.581
1899,0.102,0.228,0.297,0.219,-0.066,0.212,0.194,0.117,0.02,0.493,0.142,-0.523,0.544,-0.219,0.239,0.001,0.398,-0.177
1900,0.005,-0.225,-0.131,-0.105,-0.035,0.087,-0.056,-0.159,-0.509,0.37,-0.175,0.139,-0.1,-0.144,0.131,0.293,-0.162,0.434
1901,-0.144,0.029,0.113,-0.166,-0.204,-0.208,0.049,-0.143,-0.223,0.366,-0.64,-0.106,-0.762,0.255,-0.484,-0.107,-0.032,0.098
