year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,1006.21,1019.69,1007.62,1013.47,1019.29,1018.85,1012.36,1013.89,1021.75,1011.16,1012.84,1009.93
1896,1028.49,1027.87,1010.26,1021.74,1024.04,1014.39,1017.06,1017.3,1008.45,1007.46,1021.32,1009.44
1897,1012.84,1020.1,1006.22,1011.82,1015.47,1017.11,1017.06,1011.19,1016.58,1022.44,1023.07,1014.87
1898,1027.78,1014.77,1012.33,1013.76,1010.98,1016.01,1020.2,1017.19,1020.06,1011.16,1011.54,1018.97
1899,1011.01,1013.36,1019.62,1010.74,1017.31,1018.77,1018.88,1019.71,1012.01,1018.89,1023.09,1013.54
1900,1013.98,1002.25,1016.9,1016.27,1015.73,1014.35,1016.81,1015.31,1021.07,1015.76,1007.84,1014.5
1901,1018.09,1018.53,1008.45,1011.34,1019.43,1018.39,1016.34,1018.06,1013.74,1013.83,1022.24,1004.94
1902,1021.99,1012.22,1011.78,1014.95,1015.47,1013.7,1017.39,1014.04,1018.72,1015.8,1012.63,1018.55
1903,1016.42,1021.26,1011.48,1012.75,1012.62,1017.53,1014.46,1012.19,1017.6,1005.02,1018.21,1008.26
1904,1015.16,1002.69,1015.81,1014.68,1014.97,1018.18,1017.54,1017.12,1018.88,1020,1018.92,1014.24
1905,1026.34,1022.37,1007.86,1011.61,1020.63,1014.66,1018.33,1012.78,1015.39,1017.35,1006.62,1025.04
1906,1015.53,1008.95,1016.84,1019.36,1012.05,1020.71,1017.75,1016.68,1023.37,1011.86,1012.7,1015.4
1907,1027.83,1017.27,1023.11,1008.98,1012.2,1012.36,1017.88,1016.7,1020.74,1004.94,1015.66,1008.86
1908,1021.99,1019.03,1011.47,1014.31,1016.51,1019.18,1016.95,1016.17,1015.74,1020.94,1018.53,1014.1
1909,1022.44,1021.06,1000.33,1016.23,1019.95,1015.03,1014.2,1016.39,1017.4,1009.97,1017.32,1005.65
1910,1011.84,1004.72,1021.98,1011.06,1012.38,1012.55,1012.29,1013.18,1023.62,1016.99,1004.47,1006.6
1911,1027.33,1022.58,1013.27,1016.96,1015.82,1016.22,1021.61,1016.71,1018.46,1013.11,1007.46,1007.65
1912,1014.51,1005.38,1006.87,1021.41,1015.43,1010.45,1013.74,1007.85,1021.67,1014.17,1015.99,1014.03
